source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.74,3172.07,2489.06,4286.62,683.01,1114.55,1797.56,0.2153,0.3514,0.4193,1.7222,266.14,0.0839,0.0621,1797.56,1114.55,683.01,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.75,3190.3,2503.49,4315.93,686.81,1125.63,1812.44,0.2153,0.3528,0.4199,1.724,262.88,0.0824,0.0609,1812.44,1125.63,686.81,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.76,3208.53,2517.92,4345.29,690.61,1136.76,1827.37,0.2152,0.3543,0.4205,1.7257,259.57,0.0809,0.0597,1827.37,1136.76,690.61,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.77,3226.76,2532.36,4374.38,694.4,1147.62,1842.03,0.2152,0.3557,0.4211,1.7274,256.53,0.0795,0.0586,1842.03,1147.62,694.4,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.78,3244.99,2546.79,4403.85,698.2,1158.86,1857.07,0.2152,0.3571,0.4217,1.7292,253.11,0.078,0.0575,1857.07,1158.86,698.2,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.79,3263.22,2561.22,4433.05,702.0,1169.83,1871.83,0.2151,0.3585,0.4222,1.7308,249.96,0.0766,0.0564,1871.83,1169.83,702.0,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.8,3281.45,2575.65,4461.97,705.8,1180.52,1886.32,0.2151,0.3598,0.4228,1.7324,247.09,0.0753,0.0554,1886.32,1180.52,705.8,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.81,3299.68,2590.08,4490.93,709.6,1191.25,1900.86,0.2151,0.361,0.4233,1.7339,244.18,0.074,0.0544,1900.86,1191.25,709.6,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.82,3317.91,2604.51,4519.95,713.4,1202.04,1915.44,0.215,0.3623,0.4238,1.7354,241.21,0.0727,0.0534,1915.44,1202.04,713.4,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.83,3336.14,2618.94,4549.01,717.2,1212.87,1930.07,0.215,0.3636,0.4243,1.737,238.2,0.0714,0.0524,1930.07,1212.87,717.2,8,27,37,ok,
